emploi,entreprise,localisation,date_publication,temps_travail,salaire_annuel,categorie_salaire
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:37:25.707219,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:37:25.707942,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:37:25.709278,1,23292.0,0
Boulanger H/F,Boulangerie  Ange,Jaux - 60,2025-12-14 00:37:29.969080,1,22800.0,0
Assistant Ménager Ossé H/F,Maison et Services,Châteaugiron - 35,2025-12-14 00:37:29.969778,0,11.0,0
Directeur Hypermarché H/F,Auchan Retail France,Lyon - 69,2025-12-14 00:37:29.970128,1,80600.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:37:29.970474,0,26000.0,0
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:37:29.972560,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:37:29.973577,1,45000.0,1
Technicien Exploitation Maintenance H/F,SCP – Société du canal de Provence,Le Tholonet - 13,2025-12-14 00:37:29.975891,1,27500.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:37:29.977862,1,46500.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:37:35.144194,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:37:35.144932,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:37:35.146619,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:37:35.147614,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:37:35.150228,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:37:35.150563,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:37:35.151913,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:37:35.152247,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:37:35.152942,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:37:35.153652,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:37:35.154978,1,23292.0,0
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:37:38.830274,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:37:38.831282,1,45000.0,1
Chef Gérant - Manager de Site Cuisinant H/F,Elior Restauration,Publier - 74,2025-12-14 00:37:38.831967,1,33600.0,1
Gestionnaire Production IARD H/F,DIOT-SIACI,Paris - 75,2025-12-14 00:37:38.832949,1,34000.0,1
Technicien Itinérant Matériel d'Hygiène Professionnelle H/F,PLG,Nîmes - 30,2025-12-14 00:37:38.833638,1,28200.0,0
Auxiliaire de Vie H/F,ADHAP,Vannes - 56,2025-12-14 00:37:38.834005,1,11.0,0
Second de Cuisine H/F,Vitalrest,La Bastide-Clairence - 64,2025-12-14 00:37:38.834341,1,2216.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:37:38.835427,1,46500.0,1
Mécanicien de Maintenance Automobile H/F,Point S Réseau,Les Pieux - 50,2025-12-14 00:37:38.837138,1,31800.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:37:44.001390,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:37:44.002092,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:37:44.003877,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:37:44.005093,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:37:44.006906,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:37:44.007249,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:37:44.008613,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:37:44.008954,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:37:44.009650,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:37:44.010398,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:37:44.011758,1,23292.0,0
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:37:48.751197,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:37:48.751891,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:37:48.753669,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:37:48.754664,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:37:48.756317,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:37:48.756659,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:37:48.758005,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:37:48.758372,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:37:48.759079,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:37:48.759896,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:37:48.761310,1,23292.0,0
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:37:53.369961,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:37:53.370665,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:37:53.372357,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:37:53.373361,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:37:53.375016,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:37:53.375357,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:37:53.376719,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:37:53.377064,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:37:53.377763,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:37:53.378485,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:37:53.379830,1,23292.0,0
Boulanger H/F,Boulangerie  Ange,Jaux - 60,2025-12-14 00:37:56.799943,1,22800.0,0
Assistant Ménager Ossé H/F,Maison et Services,Châteaugiron - 35,2025-12-14 00:37:56.800663,0,11.0,0
Directeur Hypermarché H/F,Auchan Retail France,Lyon - 69,2025-12-14 00:37:56.801017,1,80600.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:37:56.801366,0,26000.0,0
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:37:56.803418,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:37:56.804479,1,45000.0,1
Technicien Exploitation Maintenance H/F,SCP – Société du canal de Provence,Le Tholonet - 13,2025-12-14 00:37:56.806878,1,27500.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:37:56.808904,1,46500.0,1
Boulanger H/F,Boulangerie  Ange,Jaux - 60,2025-12-14 00:38:02.091497,1,22800.0,0
Assistant Ménager Ossé H/F,Maison et Services,Châteaugiron - 35,2025-12-14 00:38:02.092203,0,11.0,0
Directeur Hypermarché H/F,Auchan Retail France,Lyon - 69,2025-12-14 00:38:02.092536,1,80600.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:38:02.092872,0,26000.0,0
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:38:02.094863,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:38:02.095861,1,45000.0,1
Technicien Exploitation Maintenance H/F,SCP – Société du canal de Provence,Le Tholonet - 13,2025-12-14 00:38:02.098169,1,27500.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:38:02.100153,1,46500.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:38:06.701904,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:38:06.702622,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:38:06.704356,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:38:06.705405,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:38:06.707094,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:38:06.707435,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:38:06.708814,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:38:06.709156,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:38:06.709857,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:38:06.710578,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:38:06.711944,1,23292.0,0
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:38:11.287867,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:38:11.288561,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:38:11.290244,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:38:11.291704,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:38:11.293853,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:38:11.294193,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:38:11.295554,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:38:11.295891,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:38:11.296581,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:38:11.297292,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:38:11.298635,1,23292.0,0
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:38:15.036690,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:38:15.037549,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:38:15.039305,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:38:15.040333,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:38:15.042028,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:38:15.042373,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:38:15.043752,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:38:15.044107,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:38:15.044825,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:38:15.045583,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:38:15.046966,1,23292.0,0
Boulanger H/F,Boulangerie  Ange,Jaux - 60,2025-12-14 00:38:20.424343,1,22800.0,0
Assistant Ménager Ossé H/F,Maison et Services,Châteaugiron - 35,2025-12-14 00:38:20.425031,0,11.0,0
Directeur Hypermarché H/F,Auchan Retail France,Lyon - 69,2025-12-14 00:38:20.425364,1,80600.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:38:20.425700,0,26000.0,0
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:38:20.427722,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:38:20.428735,1,45000.0,1
Technicien Exploitation Maintenance H/F,SCP – Société du canal de Provence,Le Tholonet - 13,2025-12-14 00:38:20.431106,1,27500.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:38:20.433097,1,46500.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:38:25.355194,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:38:25.355882,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:38:25.357582,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:38:25.358579,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:38:25.360244,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:38:25.360581,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:38:25.361932,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:38:25.362281,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:38:25.362985,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:38:25.363695,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:38:25.365107,1,23292.0,0
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:38:29.588035,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:38:29.588760,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:38:29.590447,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:38:29.591461,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:38:29.593127,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:38:29.593466,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:38:29.594849,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:38:29.595195,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:38:29.595892,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:38:29.596605,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:38:29.597997,1,23292.0,0
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:38:34.500154,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:38:34.501251,1,45000.0,1
Chef Gérant - Manager de Site Cuisinant H/F,Elior Restauration,Publier - 74,2025-12-14 00:38:34.501947,1,33600.0,1
Gestionnaire Production IARD H/F,DIOT-SIACI,Paris - 75,2025-12-14 00:38:34.503031,1,34000.0,1
Technicien Itinérant Matériel d'Hygiène Professionnelle H/F,PLG,Nîmes - 30,2025-12-14 00:38:34.503822,1,28200.0,0
Auxiliaire de Vie H/F,ADHAP,Vannes - 56,2025-12-14 00:38:34.504210,1,11.0,0
Second de Cuisine H/F,Vitalrest,La Bastide-Clairence - 64,2025-12-14 00:38:34.504574,1,2216.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:38:34.505607,1,46500.0,1
Mécanicien de Maintenance Automobile H/F,Point S Réseau,Les Pieux - 50,2025-12-14 00:38:34.507330,1,31800.0,1
Boulanger H/F,Boulangerie  Ange,Jaux - 60,2025-12-14 00:38:38.658939,1,22800.0,0
Assistant Ménager Ossé H/F,Maison et Services,Châteaugiron - 35,2025-12-14 00:38:38.659637,0,11.0,0
Directeur Hypermarché H/F,Auchan Retail France,Lyon - 69,2025-12-14 00:38:38.659974,1,80600.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:38:38.660359,0,26000.0,0
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:38:38.662355,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:38:38.663337,1,45000.0,1
Technicien Exploitation Maintenance H/F,SCP – Société du canal de Provence,Le Tholonet - 13,2025-12-14 00:38:38.665651,1,27500.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:38:38.667626,1,46500.0,1
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:38:42.571290,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:38:42.572823,1,45000.0,1
Chef Gérant - Manager de Site Cuisinant H/F,Elior Restauration,Publier - 74,2025-12-14 00:38:42.573723,1,33600.0,1
Gestionnaire Production IARD H/F,DIOT-SIACI,Paris - 75,2025-12-14 00:38:42.574739,1,34000.0,1
Technicien Itinérant Matériel d'Hygiène Professionnelle H/F,PLG,Nîmes - 30,2025-12-14 00:38:42.575500,1,28200.0,0
Auxiliaire de Vie H/F,ADHAP,Vannes - 56,2025-12-14 00:38:42.575868,1,11.0,0
Second de Cuisine H/F,Vitalrest,La Bastide-Clairence - 64,2025-12-14 00:38:42.576228,1,2216.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:38:42.577259,1,46500.0,1
Mécanicien de Maintenance Automobile H/F,Point S Réseau,Les Pieux - 50,2025-12-14 00:38:42.579026,1,31800.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:38:47.768236,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:38:47.768951,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:38:47.770872,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:38:47.771875,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:38:47.773551,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:38:47.773886,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:38:47.775282,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:38:47.775617,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:38:47.776314,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:38:47.777022,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:38:47.778464,1,23292.0,0
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:38:52.051107,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:38:52.051827,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:38:52.053529,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:38:52.054539,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:38:52.056227,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:38:52.056563,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:38:52.057942,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:38:52.058285,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:38:52.058990,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:38:52.059724,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:38:52.061096,1,23292.0,0
Boulanger H/F,Boulangerie  Ange,Jaux - 60,2025-12-14 00:38:56.689399,1,22800.0,0
Assistant Ménager Ossé H/F,Maison et Services,Châteaugiron - 35,2025-12-14 00:38:56.690119,0,11.0,0
Directeur Hypermarché H/F,Auchan Retail France,Lyon - 69,2025-12-14 00:38:56.690463,1,80600.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:38:56.690802,0,26000.0,0
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:38:56.692812,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:38:56.693818,1,45000.0,1
Technicien Exploitation Maintenance H/F,SCP – Société du canal de Provence,Le Tholonet - 13,2025-12-14 00:38:56.696149,1,27500.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:38:56.698132,1,46500.0,1
Boulanger H/F,Boulangerie  Ange,Jaux - 60,2025-12-14 00:39:00.699717,1,22800.0,0
Assistant Ménager Ossé H/F,Maison et Services,Châteaugiron - 35,2025-12-14 00:39:00.700411,0,11.0,0
Directeur Hypermarché H/F,Auchan Retail France,Lyon - 69,2025-12-14 00:39:00.700751,1,80600.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:39:00.701089,0,26000.0,0
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:39:00.703091,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:39:00.704113,1,45000.0,1
Technicien Exploitation Maintenance H/F,SCP – Société du canal de Provence,Le Tholonet - 13,2025-12-14 00:39:00.706549,1,27500.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:39:00.708547,1,46500.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:39:04.787364,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:39:04.788085,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:39:04.789767,1,33000.0,1
