emploi,entreprise,localisation,date_publication,temps_travail,salaire_annuel,categorie_salaire
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:37:09.364961,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:37:09.366413,1,23292.0,0
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:37:12.951753,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:37:12.952442,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:37:12.954116,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:37:12.955117,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:37:12.956769,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:37:12.957102,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:37:12.958511,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:37:12.958852,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:37:12.959572,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:37:12.960291,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:37:12.961665,1,23292.0,0
Boulanger H/F,Boulangerie  Ange,Jaux - 60,2025-12-14 00:37:17.934321,1,22800.0,0
Assistant Ménager Ossé H/F,Maison et Services,Châteaugiron - 35,2025-12-14 00:37:17.935040,0,11.0,0
Directeur Hypermarché H/F,Auchan Retail France,Lyon - 69,2025-12-14 00:37:17.935437,1,80600.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:37:17.935777,0,26000.0,0
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:37:17.937769,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:37:17.938760,1,45000.0,1
Technicien Exploitation Maintenance H/F,SCP – Société du canal de Provence,Le Tholonet - 13,2025-12-14 00:37:17.941183,1,27500.0,0
