titre,entreprise,localisation,salaire,date_publication,description
Cuisinier H/F,COMPASS GROUP,Ustaritz - 64,,2025-12-16 15:14:45.334269,"Cuisinier H/F à Ustaritz - 64, chez COMPASS GROUP, pour un CDI, en temps plein"
Vendeur Polyvalent 35H - CDI Temps Plein H/F,Naturalia France,Nantes - 44,1 829,2025-12-16 15:14:45.334787,"Vendeur Polyvalent 35H - CDI Temps Plein H/F à Nantes - 44, chez Naturalia France, pour un CDI, avec un salaire de 1 829,54 € / mois, en temps plein"
Chef Gérant H/F,COMPASS GROUP,Foulayronnes - 47,,2025-12-16 15:14:45.335937,"Chef Gérant H/F à Foulayronnes - 47, chez COMPASS GROUP, pour un CDI, en temps plein"
Cuisinier H/F,COMPASS GROUP,Saint-Aubin-Routot - 76,,2025-12-16 15:14:45.336338,"Cuisinier H/F à Saint-Aubin-Routot - 76, chez COMPASS GROUP, pour un CDI, en temps plein"
Second de Cuisine H/F,COMPASS GROUP,Marseille 9e - 13,,2025-12-16 15:14:45.336685,"Second de Cuisine H/F à Marseille 9e - 13, chez COMPASS GROUP, pour un CDI, en temps plein"
Second de Cuisine H/F,COMPASS GROUP,Talence - 33,,2025-12-16 15:14:45.337007,"Second de Cuisine H/F à Talence - 33, chez COMPASS GROUP, pour un CDI, en temps plein"
Animateur Commercial Multi-Sites H/F,123 Pare-Brise,Poitiers - 86,2 081 - 4 581 € / mois,2025-12-16 15:14:45.337369,"Animateur Commercial Multi-Sites H/F à Poitiers - 86, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 081 - 4 581 € / mois, en temps plein"
Technicien Vitrage Itinérant H/F,123 Pare-Brise,Bruay-la-Buissière - 62,2 500 - 2 800 € / mois,2025-12-16 15:14:45.337853,"Technicien Vitrage Itinérant H/F à Bruay-la-Buissière - 62, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 500 - 2 800 € / mois, en temps plein"
Conseiller de Vente - CDI 35H - Boutique H/F,Tara Jarmon,Nice - 06,,2025-12-16 16:14:49.556578,"Conseiller de Vente - CDI 35H - Boutique H/F à Nice - 06, chez Tara Jarmon, pour un CDI, en temps plein"
Poseur de Menuiserie H/F,Art & Fenêtres,Cusset - Vichy - 03,1 850 - 3 000 € / mois,2025-12-16 16:14:49.556986,"Poseur de Menuiserie H/F à Cusset - Vichy - 03, chez Art & Fenêtres, pour un CDI, avec un salaire de 1 850 - 3 000 € / mois, en temps plein"
Animateur Commercial Multi-Sites H/F,123 Pare-Brise,Tours - 37,2 081 - 4 581 € / mois,2025-12-16 16:14:49.557372,"Animateur Commercial Multi-Sites H/F à Tours - 37, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 081 - 4 581 € / mois, en temps plein"
Conseiller Commercial - Saint Chamond H/F,Groupama Rhône Alpes Auvergne,Saint-Chamond - 42,,2025-12-16 16:14:49.557741,"Conseiller Commercial - Saint Chamond H/F à Saint-Chamond - 42, chez Groupama Rhône Alpes Auvergne, pour un CDI, en temps plein"
Customer Success H/F,Airria,Meylan - 38,,2025-12-16 16:14:49.558167,"Customer Success H/F à Meylan - 38, chez Airria, pour un CDI, en temps plein"
Chef de Projet - Génie des Procédés H/F,Sugar Consulting,Solaize - 69,45 000 - 60 000 € / an,2025-12-16 16:14:49.558634,"Chef de Projet - Génie des Procédés H/F à Solaize - 69, chez Sugar Consulting, pour un CDI, avec un salaire de 45 000 - 60 000 € / an, en temps plein"
Manager Commercial H/F,123 Pare-Brise,Nord - 59,2 524 - 4 000 € / mois,2025-12-16 16:14:49.559076,"Manager Commercial H/F à Nord - 59, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 524 - 4 000 € / mois, en temps plein"
Électricien Tertiaire - Industriel H/F,Squiban Group,Plougastel-Daoulas - 29,13 - 17 € / heure,2025-12-16 16:14:49.559462,"Électricien Tertiaire - Industriel H/F à Plougastel-Daoulas - 29, chez Squiban Group, super recruteur, pour un CDI, avec un salaire de 13 - 17 € / heure, en temps plein"
Technicien BE H/F,Squiban Group,Plougastel-Daoulas - 29,13 - 16 € / heure,2025-12-16 16:14:49.559880,"Technicien BE H/F à Plougastel-Daoulas - 29, chez Squiban Group, super recruteur, pour un CDI, avec un salaire de 13 - 16 € / heure, en temps plein"
Commercial RHF-Drome H/F,Gineys,Valence - 26,1 900 - 2 300 € / mois,2025-12-16 16:14:49.560264,"Commercial RHF-Drome H/F à Valence - 26, chez Gineys, pour un CDI, avec un salaire de 1 900 - 2 300 € / mois, en temps plein, Télétravail occasionnel"
Responsable Commercial Grands Comptes H/F,Ocea Smart Building,Créteil - 94,,2025-12-16 16:14:49.560615,"Responsable Commercial Grands Comptes H/F à Créteil - 94, chez Ocea Smart Building, pour un CDI, en temps plein"
Conseiller de Vente - CDI - 10H00 - Galeries Lafayette H/F,Zapa,Nantes - 44,,2025-12-16 16:14:49.560963,"Conseiller de Vente - CDI - 10H00 - Galeries Lafayette H/F à Nantes - 44, chez Zapa, pour un CDI, en temps partiel"
Responsable de Projet Etudes Amonts - Système Combattant H/F,Safran,Massy - 91,,2025-12-16 16:14:49.561347,"Responsable de Projet Etudes Amonts - Système Combattant H/F à Massy - 91, chez Safran, pour un CDI, en temps plein"
Commercial H/F,123 Pare-Brise,Mérignac - 33,2 091 - 3 800 € / mois,2025-12-16 16:14:49.562063,"Commercial H/F à Mérignac - 33, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 091 - 3 800 € / mois, en temps plein"
ConseillerEre de Vente - CDI 21H - Corner - Printemps Nation H/F,Zapa,Paris 8e - 75,,2025-12-16 16:14:49.562676,"ConseillerEre de Vente - CDI 21H - Corner - Printemps Nation H/F à Paris 8e - 75, chez Zapa, pour un CDI, en temps partiel"
Conseiller de Vente - CDI 35H - Boutique H/F,Zapa,Cannes - 06,,2025-12-16 16:14:49.563181,"Conseiller de Vente - CDI 35H - Boutique H/F à Cannes - 06, chez Zapa, pour un CDI, en temps plein"
Animateur Commercial H/F,123 Pare-Brise,Mérignac - 33,2 091 - 3 800 € / mois,2025-12-16 16:14:49.563628,"Animateur Commercial H/F à Mérignac - 33, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 091 - 3 800 € / mois, en temps plein"
Moniteur Boucherie H/F,Solve Recrutement,Mulhouse - 68,45 000 - 55 000 € / an,2025-12-16 16:14:49.564162,"Moniteur Boucherie H/F à Mulhouse - 68, chez Solve Recrutement, pour un CDI, avec un salaire de 45 000 - 55 000 € / an, en temps plein"
Responsable des Experts Multi Spécialistes H/F,Stelliant,Rennes - 35,50 000 € / an,2025-12-16 16:14:49.564618,"Responsable des Experts Multi Spécialistes H/F à Rennes - 35, chez Stelliant, pour un CDI, avec un salaire de 50 000 € / an, en temps plein"
Mécanicien Automobile H/F,Feu Vert,Saint-Grégoire - 35,1 900 - 2 500 € / mois,2025-12-16 16:14:49.565172,"Mécanicien Automobile H/F à Saint-Grégoire - 35, chez Feu Vert, super recruteur, pour un CDI, avec un salaire de 1 900 - 2 500 € / mois, en temps plein"
Technicien Alarme H/F,Securitas Technology,Narbonne - 11,2 200 - 2 800 € / mois,2025-12-16 16:14:49.566046,"Technicien Alarme H/F à Narbonne - 11, chez Securitas Technology, super recruteur, pour un CDI, avec un salaire de 2 200 - 2 800 € / mois, en temps plein"
Auxiliaire de Vie Robion - Taillades H/F,APEF,Robion - Taillades - 84,11,2025-12-16 15:14:49.566852,"Auxiliaire de Vie Robion - Taillades H/F à Robion - Taillades - 84, chez APEF, pour un CDI, avec un salaire de 11,93 - 12,37 € / heure, en temps partiel"
Cuisinier H/F,COMPASS GROUP,Ustaritz - 64,,2025-12-16 15:14:49.567776,"Cuisinier H/F à Ustaritz - 64, chez COMPASS GROUP, pour un CDI, en temps plein"
Vendeur Polyvalent 35H - CDI Temps Plein H/F,Naturalia France,Nantes - 44,1 829,2025-12-16 15:14:49.568860,"Vendeur Polyvalent 35H - CDI Temps Plein H/F à Nantes - 44, chez Naturalia France, pour un CDI, avec un salaire de 1 829,54 € / mois, en temps plein"
Chef Gérant H/F,COMPASS GROUP,Foulayronnes - 47,,2025-12-16 15:14:49.570152,"Chef Gérant H/F à Foulayronnes - 47, chez COMPASS GROUP, pour un CDI, en temps plein"
Cuisinier H/F,COMPASS GROUP,Saint-Aubin-Routot - 76,,2025-12-16 15:14:49.571329,"Cuisinier H/F à Saint-Aubin-Routot - 76, chez COMPASS GROUP, pour un CDI, en temps plein"
Second de Cuisine H/F,COMPASS GROUP,Marseille 9e - 13,,2025-12-16 15:14:49.572454,"Second de Cuisine H/F à Marseille 9e - 13, chez COMPASS GROUP, pour un CDI, en temps plein"
Second de Cuisine H/F,COMPASS GROUP,Talence - 33,,2025-12-16 15:14:49.573197,"Second de Cuisine H/F à Talence - 33, chez COMPASS GROUP, pour un CDI, en temps plein"
Animateur Commercial Multi-Sites H/F,123 Pare-Brise,Poitiers - 86,2 081 - 4 581 € / mois,2025-12-16 15:14:49.573892,"Animateur Commercial Multi-Sites H/F à Poitiers - 86, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 081 - 4 581 € / mois, en temps plein"
Technicien Vitrage Itinérant H/F,123 Pare-Brise,Bruay-la-Buissière - 62,2 500 - 2 800 € / mois,2025-12-16 15:14:49.574640,"Technicien Vitrage Itinérant H/F à Bruay-la-Buissière - 62, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 500 - 2 800 € / mois, en temps plein"
Conseiller de Vente - CDI 35H - Boutique H/F,Tara Jarmon,Nice - 06,,2025-12-16 16:14:54.751836,"Conseiller de Vente - CDI 35H - Boutique H/F à Nice - 06, chez Tara Jarmon, pour un CDI, en temps plein"
Poseur de Menuiserie H/F,Art & Fenêtres,Cusset - Vichy - 03,1 850 - 3 000 € / mois,2025-12-16 16:14:54.752208,"Poseur de Menuiserie H/F à Cusset - Vichy - 03, chez Art & Fenêtres, pour un CDI, avec un salaire de 1 850 - 3 000 € / mois, en temps plein"
Animateur Commercial Multi-Sites H/F,123 Pare-Brise,Tours - 37,2 081 - 4 581 € / mois,2025-12-16 16:14:54.752579,"Animateur Commercial Multi-Sites H/F à Tours - 37, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 081 - 4 581 € / mois, en temps plein"
Conseiller Commercial - Saint Chamond H/F,Groupama Rhône Alpes Auvergne,Saint-Chamond - 42,,2025-12-16 16:14:54.752939,"Conseiller Commercial - Saint Chamond H/F à Saint-Chamond - 42, chez Groupama Rhône Alpes Auvergne, pour un CDI, en temps plein"
Customer Success H/F,Airria,Meylan - 38,,2025-12-16 16:14:54.753276,"Customer Success H/F à Meylan - 38, chez Airria, pour un CDI, en temps plein"
Chef de Projet - Génie des Procédés H/F,Sugar Consulting,Solaize - 69,45 000 - 60 000 € / an,2025-12-16 16:14:54.753611,"Chef de Projet - Génie des Procédés H/F à Solaize - 69, chez Sugar Consulting, pour un CDI, avec un salaire de 45 000 - 60 000 € / an, en temps plein"
Manager Commercial H/F,123 Pare-Brise,Nord - 59,2 524 - 4 000 € / mois,2025-12-16 16:14:54.753973,"Manager Commercial H/F à Nord - 59, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 524 - 4 000 € / mois, en temps plein"
Électricien Tertiaire - Industriel H/F,Squiban Group,Plougastel-Daoulas - 29,13 - 17 € / heure,2025-12-16 16:14:54.754325,"Électricien Tertiaire - Industriel H/F à Plougastel-Daoulas - 29, chez Squiban Group, super recruteur, pour un CDI, avec un salaire de 13 - 17 € / heure, en temps plein"
Technicien BE H/F,Squiban Group,Plougastel-Daoulas - 29,13 - 16 € / heure,2025-12-16 16:14:54.754700,"Technicien BE H/F à Plougastel-Daoulas - 29, chez Squiban Group, super recruteur, pour un CDI, avec un salaire de 13 - 16 € / heure, en temps plein"
Commercial RHF-Drome H/F,Gineys,Valence - 26,1 900 - 2 300 € / mois,2025-12-16 16:14:54.755037,"Commercial RHF-Drome H/F à Valence - 26, chez Gineys, pour un CDI, avec un salaire de 1 900 - 2 300 € / mois, en temps plein, Télétravail occasionnel"
Responsable Commercial Grands Comptes H/F,Ocea Smart Building,Créteil - 94,,2025-12-16 16:14:54.755370,"Responsable Commercial Grands Comptes H/F à Créteil - 94, chez Ocea Smart Building, pour un CDI, en temps plein"
Conseiller de Vente - CDI - 10H00 - Galeries Lafayette H/F,Zapa,Nantes - 44,,2025-12-16 16:14:54.755755,"Conseiller de Vente - CDI - 10H00 - Galeries Lafayette H/F à Nantes - 44, chez Zapa, pour un CDI, en temps partiel"
Responsable de Projet Etudes Amonts - Système Combattant H/F,Safran,Massy - 91,,2025-12-16 16:14:54.756140,"Responsable de Projet Etudes Amonts - Système Combattant H/F à Massy - 91, chez Safran, pour un CDI, en temps plein"
Commercial H/F,123 Pare-Brise,Mérignac - 33,2 091 - 3 800 € / mois,2025-12-16 16:14:54.756541,"Commercial H/F à Mérignac - 33, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 091 - 3 800 € / mois, en temps plein"
ConseillerEre de Vente - CDI 21H - Corner - Printemps Nation H/F,Zapa,Paris 8e - 75,,2025-12-16 16:14:54.756969,"ConseillerEre de Vente - CDI 21H - Corner - Printemps Nation H/F à Paris 8e - 75, chez Zapa, pour un CDI, en temps partiel"
Conseiller de Vente - CDI 35H - Boutique H/F,Zapa,Cannes - 06,,2025-12-16 16:14:54.757347,"Conseiller de Vente - CDI 35H - Boutique H/F à Cannes - 06, chez Zapa, pour un CDI, en temps plein"
Animateur Commercial H/F,123 Pare-Brise,Mérignac - 33,2 091 - 3 800 € / mois,2025-12-16 16:14:54.757748,"Animateur Commercial H/F à Mérignac - 33, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 091 - 3 800 € / mois, en temps plein"
Moniteur Boucherie H/F,Solve Recrutement,Mulhouse - 68,45 000 - 55 000 € / an,2025-12-16 16:14:54.758103,"Moniteur Boucherie H/F à Mulhouse - 68, chez Solve Recrutement, pour un CDI, avec un salaire de 45 000 - 55 000 € / an, en temps plein"
Responsable des Experts Multi Spécialistes H/F,Stelliant,Rennes - 35,50 000 € / an,2025-12-16 16:14:54.758445,"Responsable des Experts Multi Spécialistes H/F à Rennes - 35, chez Stelliant, pour un CDI, avec un salaire de 50 000 € / an, en temps plein"
Mécanicien Automobile H/F,Feu Vert,Saint-Grégoire - 35,1 900 - 2 500 € / mois,2025-12-16 16:14:54.758817,"Mécanicien Automobile H/F à Saint-Grégoire - 35, chez Feu Vert, super recruteur, pour un CDI, avec un salaire de 1 900 - 2 500 € / mois, en temps plein"
Technicien Alarme H/F,Securitas Technology,Narbonne - 11,2 200 - 2 800 € / mois,2025-12-16 16:14:54.759178,"Technicien Alarme H/F à Narbonne - 11, chez Securitas Technology, super recruteur, pour un CDI, avec un salaire de 2 200 - 2 800 € / mois, en temps plein"
Auxiliaire de Vie Robion - Taillades H/F,APEF,Robion - Taillades - 84,11,2025-12-16 15:14:54.759717,"Auxiliaire de Vie Robion - Taillades H/F à Robion - Taillades - 84, chez APEF, pour un CDI, avec un salaire de 11,93 - 12,37 € / heure, en temps partiel"
Cuisinier H/F,COMPASS GROUP,Ustaritz - 64,,2025-12-16 15:14:54.760069,"Cuisinier H/F à Ustaritz - 64, chez COMPASS GROUP, pour un CDI, en temps plein"
Vendeur Polyvalent 35H - CDI Temps Plein H/F,Naturalia France,Nantes - 44,1 829,2025-12-16 15:14:54.760400,"Vendeur Polyvalent 35H - CDI Temps Plein H/F à Nantes - 44, chez Naturalia France, pour un CDI, avec un salaire de 1 829,54 € / mois, en temps plein"
Chef Gérant H/F,COMPASS GROUP,Foulayronnes - 47,,2025-12-16 15:14:54.760748,"Chef Gérant H/F à Foulayronnes - 47, chez COMPASS GROUP, pour un CDI, en temps plein"
Cuisinier H/F,COMPASS GROUP,Saint-Aubin-Routot - 76,,2025-12-16 15:14:54.761072,"Cuisinier H/F à Saint-Aubin-Routot - 76, chez COMPASS GROUP, pour un CDI, en temps plein"
Second de Cuisine H/F,COMPASS GROUP,Marseille 9e - 13,,2025-12-16 15:14:54.761400,"Second de Cuisine H/F à Marseille 9e - 13, chez COMPASS GROUP, pour un CDI, en temps plein"
Second de Cuisine H/F,COMPASS GROUP,Talence - 33,,2025-12-16 15:14:54.761726,"Second de Cuisine H/F à Talence - 33, chez COMPASS GROUP, pour un CDI, en temps plein"
Animateur Commercial Multi-Sites H/F,123 Pare-Brise,Poitiers - 86,2 081 - 4 581 € / mois,2025-12-16 15:14:54.762074,"Animateur Commercial Multi-Sites H/F à Poitiers - 86, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 081 - 4 581 € / mois, en temps plein"
Technicien Vitrage Itinérant H/F,123 Pare-Brise,Bruay-la-Buissière - 62,2 500 - 2 800 € / mois,2025-12-16 15:14:54.762433,"Technicien Vitrage Itinérant H/F à Bruay-la-Buissière - 62, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 500 - 2 800 € / mois, en temps plein"
Ingénieur Génie Civil H/F,IOTA GROUP,Cherbourg-en-Cotentin - 50,,2025-12-16 11:14:59.854590,"Ingénieur Génie Civil H/F à Cherbourg-en-Cotentin - 50, chez IOTA GROUP, pour un CDI, en temps plein"
Chef de Projet Mécanique H/F,Otteo,Cluses - 74,40 000 - 45 000 € / an,2025-12-16 11:14:59.855001,"Chef de Projet Mécanique H/F à Cluses - 74, chez Otteo, super recruteur, pour un CDI, avec un salaire de 40 000 - 45 000 € / an, en temps plein"
Pharmacien H/F,Medijob,Sevran - 93,3 045 - 3 654 € / mois,2025-12-16 11:14:59.855349,"Pharmacien H/F à Sevran - 93, chez Medijob, pour un CDI, avec un salaire de 3 045 - 3 654 € / mois, en temps plein"
Cuisinier H/F,Sodexo,Romans-sur-Isère - 26,2 000 € / mois,2025-12-16 11:14:59.855690,"Cuisinier H/F à Romans-sur-Isère - 26, chez Sodexo, pour un CDI, avec un salaire de 2 000 € / mois, en temps plein"
Second de Cuisine H/F,Sodexo,Viroflay - 78,2 400 € / mois,2025-12-16 11:14:59.856025,"Second de Cuisine H/F à Viroflay - 78, chez Sodexo, pour un CDI, avec un salaire de 2 400 € / mois, en temps plein"
Conducteur SPL Navettes Inter-Sites 74 H/F,GEODIS,Thônes - 74,,2025-12-16 11:14:59.856360,"Conducteur SPL Navettes Inter-Sites 74 H/F à Thônes - 74, chez GEODIS, pour un CDI, en temps plein"
Chargé de Location H/F,RÉSEAU TALENTS,Caen - 14,26 000 - 30 000 € / an,2025-12-16 12:14:59.856718,"Chargé de Location H/F à Caen - 14, chez RÉSEAU TALENTS, super recruteur, pour un CDI, avec un salaire de 26 000 - 30 000 € / an, en temps plein, Télétravail partiel"
Préparateur de Commandes - Livreur Drive H/F,Auchan Retail France,Dardilly - 69,23 850 - 23 870 € / an,2025-12-16 12:14:59.857065,"Préparateur de Commandes - Livreur Drive H/F à Dardilly - 69, chez Auchan Retail France, pour un CDI, avec un salaire de 23 850 - 23 870 € / an, en temps plein"
Magasinier H/F,Saint Maclou,Chantepie - 35,23 500 - 25 500 € / an,2025-12-16 12:14:59.857419,"Magasinier H/F à Chantepie - 35, chez Saint Maclou, super recruteur, pour un CDI, avec un salaire de 23 500 - 25 500 € / an, en temps plein"
Conducteur SPL Ampliroll Regional H/F,GT Solutions emploi,Laval - 53,12,2025-12-16 11:14:59.857757,"Conducteur SPL Ampliroll Regional H/F à Laval - 53, chez GT Solutions emploi, pour un CDI, avec un salaire de 12,43 € / heure, en temps plein"
Agent de Prévention et de Sécurité H/F,Onet securité,Garges-lès-Gonesse - 95,,2025-12-16 12:14:59.858092,"Agent de Prévention et de Sécurité H/F à Garges-lès-Gonesse - 95, chez Onet securité, pour un CDI, en temps plein"
Responsable Bureau d'Études Électricité H/F,SPIE Building Solutions,Toulouse - 31,,2025-12-16 12:14:59.858432,"Responsable Bureau d'Études Électricité H/F à Toulouse - 31, chez SPIE Building Solutions, pour un CDI, en temps plein, Télétravail partiel"
